"","web.scraper.start.url","Seat","Party","Candidate","Share","Count.1","Count.2","Count.3","Count.4","Count.5","Count.6","Count.7","Count.8","Count.9","Count.10","Count.11","Count.12","Count.13","Count.14","Count.15","Constituency","n","total_const_vote","seats","Quota","Total_Transfers","FP_Quota_pct","Trans_Quota_pct","Elected","First_Name","gender","proportion_male","proportion_female"
"343","https://irelandelection.com/electiondetail.php?elecid=238&constitid=34&electype=1",0,"FF","Pauline Flanagan (FF)","2.5%",1744,106,24,0,0,0,0,0,0,0,0,0,0,0,0,"Laois–Offaly",15,69422,5,11571,130,0.15072163166537,0.0112349840117535,0,"Pauline","female",NA,NA
"344","https://irelandelection.com/electiondetail.php?elecid=238&constitid=34&electype=1",4,"IND","Carol Nolan (IND)","7.8%",5436,746,180,72,372,303,1244,495,79,437,3157,0,0,0,0,"Laois–Offaly",15,69422,5,11571,7085,0.46979517759917,0.612306628640567,1,"Carol","female",0.03,0.97
"345","https://irelandelection.com/electiondetail.php?elecid=238&constitid=34&electype=1",0,"GP","Pippa Hackett (GP)","5.0%",3494,427,70,90,484,678,568,130,23,504,641,0,0,0,0,"Laois–Offaly",15,69422,5,11571,3615,0.30196180105436,0.312418978480684,0,"Pippa","female",NA,NA
"346","https://irelandelection.com/electiondetail.php?elecid=238&constitid=34&electype=1",0,"IDP","Ken Smollen (IDP)","3.8%",2611,562,88,13,366,301,0,0,0,0,0,0,0,0,0,"Laois–Offaly",15,69422,5,11571,1330,0.225650332728373,0.114942528735632,0,"Ken","male",0.98,0.02
"347","https://irelandelection.com/electiondetail.php?elecid=238&constitid=34&electype=1",2,"FF","Barry Cowen (FF)","12.5%",8677,212,30,211,36,76,456,2464,0,0,0,0,0,0,0,"Laois–Offaly",15,69422,5,11571,3485,0.749891971307579,0.301183994468931,1,"Barry","male",0.97,0.03
"348","https://irelandelection.com/electiondetail.php?elecid=238&constitid=34&electype=1",0,"FF","Peter Ormond (FF)","5.9%",4073,59,5,183,14,26,89,0,0,0,0,0,0,0,0,"Laois–Offaly",15,69422,5,11571,376,0.352000691383631,0.0324950306801486,0,"Peter","male",0.99,0.01
"349","https://irelandelection.com/electiondetail.php?elecid=238&constitid=34&electype=1",0,"REN","Noel O'Rourke (REN)","0.4%",290,66,0,0,0,0,0,0,0,0,0,0,0,0,0,"Laois–Offaly",15,69422,5,11571,66,0.025062656641604,0.00570391495981333,0,"Noel","male",0.93,0.07
"350","https://irelandelection.com/electiondetail.php?elecid=238&constitid=34&electype=1",5,"FF","Seán Fleming (FF)","11.0%",7636,480,74,916,56,574,99,492,349,192,496,0,0,0,0,"Laois–Offaly",15,69422,5,11571,3728,0.659925676259615,0.322184772275516,1,"Seán","male",NA,NA
"351","https://irelandelection.com/electiondetail.php?elecid=238&constitid=34&electype=1",0,"NAT","John Daly (NAT)","0.6%",441,116,0,0,0,0,0,0,0,0,0,0,0,0,0,"Laois–Offaly",15,69422,5,11571,116,0.0381125226860254,0.0100250626566416,0,"John","male",0.99,0.01
"352","https://irelandelection.com/electiondetail.php?elecid=238&constitid=34&electype=1",3,"FG","Charlie Flanagan (FG)","10.8%",7463,178,34,116,30,382,84,109,22,3339,0,0,0,0,0,"Laois–Offaly",15,69422,5,11571,4294,0.644974505228589,0.371100164203612,1,"Charlie","male",0.81,0.19
"353","https://irelandelection.com/electiondetail.php?elecid=238&constitid=36&electype=1",0,"FG","Maria Byrne (FG)","6.5%",2998,23,21,93,118,13,405,0,0,0,0,0,0,0,0,"Limerick City",12,46129,4,9226,673,0.32495122479948,0.0729460221114242,0,"Maria","female",0.02,0.98
"354","https://irelandelection.com/electiondetail.php?elecid=238&constitid=36&electype=1",1,"SF","Maurice Quinlivan (SF)","23.9%",11006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Limerick City",12,46129,4,9226,0,1.19293301539129,0,1,"Maurice","male",0.98,0.02
"355","https://irelandelection.com/electiondetail.php?elecid=238&constitid=36&electype=1",0,"IND","Frankie Daly (IND)","6.9%",3200,525,297,391,527,77,387,281,1035,0,0,0,0,0,0,"Limerick City",12,46129,4,9226,3520,0.346845870366356,0.381530457402992,0,"Frankie","female",NA,NA
"356","https://irelandelection.com/electiondetail.php?elecid=238&constitid=36&electype=1",3,"FG","Kieran O'Donnell (FG)","14.3%",6589,39,33,206,84,15,683,2105,0,0,0,0,0,0,0,"Limerick City",12,46129,4,9226,3165,0.714177324951225,0.343052243659224,1,"Kieran","male",0.99,0.01
"357","https://irelandelection.com/electiondetail.php?elecid=238&constitid=36&electype=1",0,"FF","James Collins (FF)","6.0%",2759,29,20,227,72,43,0,0,0,0,0,0,0,0,0,"Limerick City",12,46129,4,9226,391,0.299046173856493,0.0423802297853891,0,"James","male",0.99,0.01
